Date,Open,High,Low,Close,Adj Close,Volume
2017-08-13,2.990000,3.290000,1.200000,1.590000,1.590000,1712
2017-08-14,1.520000,1.520000,1.090000,1.430000,1.430000,2950
2017-08-15,1.500000,2.260000,1.340000,2.260000,2.260000,2963
2017-08-16,2.250000,2.250000,1.200000,1.930000,1.930000,1753
2017-08-17,1.880000,1.880000,1.880000,1.880000,1.880000,0
2017-08-18,1.890000,1.890000,1.890000,1.890000,1.890000,0
2017-08-19,1.920000,1.920000,1.920000,1.920000,1.920000,0
2017-08-20,2.070000,2.070000,2.070000,2.070000,2.070000,0
2017-08-21,2.020000,2.020000,2.020000,2.020000,2.020000,0
2017-08-22,2.040000,2.040000,2.040000,2.040000,2.040000,0
2017-08-23,2.790000,2.830000,2.270000,2.410000,2.410000,20965
2017-08-24,2.450000,3.270000,2.390000,2.570000,2.570000,17431
2017-08-25,2.590000,2.660000,2.130000,2.460000,2.460000,10561
2017-08-26,2.570000,2.570000,1.670000,1.930000,1.930000,9860
2017-08-27,1.930000,2.360000,1.840000,1.880000,1.880000,3472
2017-08-28,2.010000,2.230000,1.940000,2.090000,2.090000,8257
2017-08-29,2.150000,3.260000,2.010000,2.260000,2.260000,15662
2017-08-30,2.290000,2.660000,2.070000,2.100000,2.100000,5383
2017-08-31,2.110000,2.540000,2.080000,2.350000,2.350000,5442
2017-09-01,2.110000,2.810000,1.860000,2.030000,2.030000,9686
2017-09-02,2.040000,2.910000,1.620000,1.820000,1.820000,15106
2017-09-03,1.570000,1.570000,0.795700,1.350000,1.350000,22799
2017-09-04,1.410000,1.410000,0.874300,1.020000,1.020000,8816
2017-09-05,1.080000,32.540001,0.179600,0.982900,0.982900,19509
2017-09-06,0.972600,3.220000,0.972600,1.380000,1.380000,335161
2017-09-07,1.300000,1.310000,0.888700,1.010000,1.010000,6532072
2017-09-08,1.010000,1.040000,0.862700,0.970600,0.970600,2586303
2017-09-09,0.950700,0.988900,0.874700,0.946800,0.946800,2109542
2017-09-10,0.940600,1.110000,0.914900,1.050000,1.050000,3937334
2017-09-11,1.030000,1.160000,0.989800,1.040000,1.040000,5036160
2017-09-12,0.966400,0.966400,0.863100,0.937400,0.937400,1709487
2017-09-13,0.785500,0.792000,0.658300,0.688200,0.688200,2159068
2017-09-14,0.788100,0.846700,0.648100,0.802500,0.802500,3131090
2017-09-15,0.799300,0.906200,0.750900,0.799700,0.799700,1952481
2017-09-16,0.797700,0.816900,0.765200,0.791400,0.791400,735405
2017-09-17,0.879500,0.943100,0.861900,0.905300,0.905300,3040708
2017-09-18,0.862900,0.875400,0.781600,0.825400,0.825400,2309388
2017-09-19,0.819900,0.819900,0.741500,0.776400,0.776400,2212893
2017-09-20,0.723500,0.731400,0.680000,0.701800,0.701800,1783757
2017-09-21,0.698600,0.716600,0.679800,0.715800,0.715800,1684262
2017-09-22,0.753400,0.780300,0.749300,0.771600,0.771600,1885065
2017-09-23,0.747100,0.784800,0.733500,0.784800,0.784800,1896276
2017-09-24,0.841600,0.934400,0.812900,0.926200,0.926200,3031821
2017-09-25,0.916700,0.934200,0.856800,0.864200,0.864200,2527097
2017-09-26,0.935100,1.220000,0.926700,1.150000,1.150000,7072689
2017-09-27,1.150000,1.440000,1.140000,1.380000,1.380000,11363053
2017-09-28,1.370000,1.390000,1.160000,1.270000,1.270000,7097885
2017-09-29,1.330000,1.370000,1.250000,1.290000,1.290000,5217583
2017-09-30,1.300000,1.540000,1.280000,1.520000,1.520000,7634359
2017-10-01,1.520000,1.980000,1.510000,1.970000,1.970000,16508456
2017-10-02,1.930000,1.980000,1.680000,1.840000,1.840000,12336423
2017-10-03,1.800000,1.820000,1.520000,1.640000,1.640000,6138515
2017-10-04,1.680000,1.750000,1.460000,1.690000,1.690000,6402509
2017-10-05,1.710000,1.750000,1.530000,1.610000,1.610000,5087674
2017-10-06,1.640000,1.640000,1.520000,1.590000,1.590000,4796842
2017-10-07,1.660000,1.680000,1.160000,1.200000,1.200000,3303285
2017-10-08,1.240000,1.620000,1.230000,1.440000,1.440000,7869497
2017-10-09,1.440000,1.470000,1.320000,1.410000,1.410000,5631679
2017-10-10,1.430000,1.520000,1.380000,1.440000,1.440000,5092858
2017-10-11,1.620000,1.620000,1.290000,1.350000,1.350000,4272596
