Date,Open,High,Low,Close,Adj Close,Volume
2000-12-27,10.000000,10.000000,10.000000,10.000000,6.808878,0
2000-12-28,10.120000,10.120000,10.120000,10.120000,6.890585,0
2000-12-29,9.860000,9.860000,9.860000,9.860000,6.713554,0
2001-01-02,9.280000,9.280000,9.280000,9.280000,6.318639,0
2001-01-03,10.730000,10.730000,10.730000,10.730000,7.305927,0
2001-01-04,10.730000,10.730000,10.730000,10.730000,7.305927,0
2001-01-05,10.080000,10.080000,10.080000,10.080000,6.863348,0
2001-01-08,10.200000,10.200000,10.200000,10.200000,6.945055,0
2001-01-09,10.220000,10.220000,10.220000,10.220000,6.958674,0
2001-01-10,10.520000,10.520000,10.520000,10.520000,7.162941,0
2001-01-11,11.290000,11.290000,11.290000,11.290000,7.687224,0
2001-01-12,11.200000,11.200000,11.200000,11.200000,7.625944,0
2001-01-16,11.040000,11.040000,11.040000,11.040000,7.517002,0
2001-01-17,11.540000,11.540000,11.540000,11.540000,7.857446,0
2001-01-18,12.050000,12.050000,12.050000,12.050000,8.204698,0
2001-01-19,12.140000,12.140000,12.140000,12.140000,8.265978,0
2001-01-22,11.940000,11.940000,11.940000,11.940000,8.129802,0
2001-01-23,12.090000,12.090000,12.090000,12.090000,8.231934,0
2001-01-24,12.120000,12.120000,12.120000,12.120000,8.252361,0
2001-01-25,11.710000,11.710000,11.710000,11.710000,7.973197,0
2001-01-26,11.700000,11.700000,11.700000,11.700000,7.966388,0
2001-01-29,11.910000,11.910000,11.910000,11.910000,8.109374,0
2001-01-30,12.090000,12.090000,12.090000,12.090000,8.231934,0
2001-01-31,12.030000,12.030000,12.030000,12.030000,8.191081,0
2001-02-01,11.950000,11.950000,11.950000,11.950000,8.136608,0
2001-02-02,11.410000,11.410000,11.410000,11.410000,7.768931,0
2001-02-05,11.120000,11.120000,11.120000,11.120000,7.571474,0
2001-02-06,11.060000,11.060000,11.060000,11.060000,7.530619,0
2001-02-07,10.640000,10.640000,10.640000,10.640000,7.244648,0
2001-02-08,10.530000,10.530000,10.530000,10.530000,7.169749,0
2001-02-09,10.300000,10.300000,10.300000,10.300000,7.013145,0
2001-02-12,10.420000,10.420000,10.420000,10.420000,7.094852,0
2001-02-13,10.250000,10.250000,10.250000,10.250000,6.979100,0
2001-02-14,10.800000,10.800000,10.800000,10.800000,7.353589,0
2001-02-15,11.240000,11.240000,11.240000,11.240000,7.653180,0
2001-02-16,10.590000,10.590000,10.590000,10.590000,7.210602,0
2001-02-20,10.050000,10.050000,10.050000,10.050000,6.842923,0
2001-02-21,9.920000,9.920000,9.920000,9.920000,6.754407,0
2001-02-22,9.850000,9.850000,9.850000,9.850000,6.706747,0
2001-02-23,9.840000,9.840000,9.840000,9.840000,6.699937,0
2001-02-26,9.830000,9.830000,9.830000,9.830000,6.693128,0
2001-02-27,9.310000,9.310000,9.310000,9.310000,6.339066,0
2001-02-28,9.010000,9.010000,9.010000,9.010000,6.134799,0
2001-03-01,9.230000,9.230000,9.230000,9.230000,6.284595,0
2001-03-02,9.300000,9.300000,9.300000,9.300000,6.332257,0
2001-03-05,9.520000,9.520000,9.520000,9.520000,6.482053,0
2001-03-06,9.970000,9.970000,9.970000,9.970000,6.788451,0
2001-03-07,9.980000,9.980000,9.980000,9.980000,6.795260,0
2001-03-08,9.840000,9.840000,9.840000,9.840000,6.699937,0
2001-03-09,9.230000,9.230000,9.230000,9.230000,6.284595,0
2001-03-12,8.840000,8.840000,8.840000,8.840000,6.019049,0
2001-03-13,9.280000,9.280000,9.280000,9.280000,6.318639,0
2001-03-14,9.160000,9.160000,9.160000,9.160000,6.236932,0
2001-03-15,8.890000,8.890000,8.890000,8.890000,6.053092,0
2001-03-16,8.570000,8.570000,8.570000,8.570000,5.835209,0
2001-03-19,8.980000,8.980000,8.980000,8.980000,6.114373,0
2001-03-20,8.520000,8.520000,8.520000,8.520000,5.801165,0
2001-03-21,8.580000,8.580000,8.580000,8.580000,5.842017,0
2001-03-22,9.210000,9.210000,9.210000,9.210000,6.270977,0
2001-03-23,9.480000,9.480000,9.480000,9.480000,6.454817,0
2001-03-26,9.270000,9.270000,9.270000,9.270000,6.311831,0
2001-03-27,9.370000,9.370000,9.370000,9.370000,6.379920,0
2001-03-28,8.740000,8.740000,8.740000,8.740000,5.950960,0
2001-03-29,8.540000,8.540000,8.540000,8.540000,5.814782,0
2001-03-30,8.420000,8.420000,8.420000,8.420000,5.733076,0
2001-04-02,7.960000,7.960000,7.960000,7.960000,5.419868,0
2001-04-03,7.630000,7.630000,7.630000,7.630000,5.195174,0
2001-04-04,7.410000,7.410000,7.410000,7.410000,5.045379,0
2001-04-05,8.250000,8.250000,8.250000,8.250000,5.617325,0
2001-04-06,7.850000,7.850000,7.850000,7.850000,5.344969,0
2001-04-09,7.820000,7.820000,7.820000,7.820000,5.324543,0
2001-04-10,8.470000,8.470000,8.470000,8.470000,5.767121,0
2001-04-11,9.010000,9.010000,9.010000,9.010000,6.134799,0
2001-04-12,9.430000,9.430000,9.430000,9.430000,6.420773,0
2001-04-16,9.050000,9.050000,9.050000,9.050000,6.162036,0
2001-04-17,9.010000,9.010000,9.010000,9.010000,6.134799,0
2001-04-18,10.100000,10.100000,10.100000,10.100000,6.876967,0
2001-04-19,10.760000,10.760000,10.760000,10.760000,7.326355,0
2001-04-20,10.640000,10.640000,10.640000,10.640000,7.244648,0
2001-04-23,10.010000,10.010000,10.010000,10.010000,6.815687,0
2001-04-24,9.810000,9.810000,9.810000,9.810000,6.679510,0
2001-04-25,10.120000,10.120000,10.120000,10.120000,6.890585,0
2001-04-26,10.000000,10.000000,10.000000,10.000000,6.808878,0
2001-04-27,10.290000,10.290000,10.290000,10.290000,7.006336,0
2001-04-30,10.570000,10.570000,10.570000,10.570000,7.196984,0
2001-05-01,10.700000,10.700000,10.700000,10.700000,7.285499,0
2001-05-02,10.990000,10.990000,10.990000,10.990000,7.482957,0
2001-05-03,10.580000,10.580000,10.580000,10.580000,7.203793,0
2001-05-04,10.640000,10.640000,10.640000,10.640000,7.244648,0
2001-05-07,10.540000,10.540000,10.540000,10.540000,7.176558,0
2001-05-08,10.710000,10.710000,10.710000,10.710000,7.292309,0
2001-05-09,10.500000,10.500000,10.500000,10.500000,7.149322,0
2001-05-10,10.400000,10.400000,10.400000,10.400000,7.081234,0
2001-05-11,10.310000,10.310000,10.310000,10.310000,7.019953,0
2001-05-14,10.100000,10.100000,10.100000,10.100000,6.876967,0
2001-05-15,10.170000,10.170000,10.170000,10.170000,6.924629,0
2001-05-16,10.620000,10.620000,10.620000,10.620000,7.231029,0
2001-05-17,10.870000,10.870000,10.870000,10.870000,7.401251,0
2001-05-18,10.870000,10.870000,10.870000,10.870000,7.401251,0
2001-05-21,11.570000,11.570000,11.570000,11.570000,7.877872,0
2001-05-22,11.520000,11.520000,11.520000,11.520000,7.843828,0
2001-05-23,10.990000,10.990000,10.990000,10.990000,7.482957,0
2001-05-24,10.980000,10.980000,10.980000,10.980000,7.476148,0
2001-05-25,10.880000,10.880000,10.880000,10.880000,7.408060,0
2001-05-29,10.340000,10.340000,10.340000,10.340000,7.040381,0
2001-05-30,9.690000,9.690000,9.690000,9.690000,6.597802,0
2001-05-31,9.870000,9.870000,9.870000,9.870000,6.720363,0
2001-06-01,10.110000,10.110000,10.110000,10.110000,6.883776,0
2001-06-04,10.010000,10.010000,10.010000,10.010000,6.815687,0
2001-06-05,10.500000,10.500000,10.500000,10.500000,7.149322,0
2001-06-06,10.440000,10.440000,10.440000,10.440000,7.108469,0
2001-06-07,10.980000,10.980000,10.980000,10.980000,7.476148,0
2001-06-08,10.660000,10.660000,10.660000,10.660000,7.258265,0
2001-06-11,10.280000,10.280000,10.280000,10.280000,6.999527,0
2001-06-12,10.230000,10.230000,10.230000,10.230000,6.965482,0
2001-06-13,9.960000,9.960000,9.960000,9.960000,6.781643,0
2001-06-14,9.480000,9.480000,9.480000,9.480000,6.454817,0
2001-06-15,9.420000,9.420000,9.420000,9.420000,6.413963,0
2001-06-18,9.240000,9.240000,9.240000,9.240000,6.291405,0
2001-06-19,9.150000,9.150000,9.150000,9.150000,6.230124,0
2001-06-20,9.120000,9.120000,9.120000,9.120000,6.209696,0
2001-06-21,9.180000,9.180000,9.180000,9.180000,6.250551,0
2001-06-22,9.220000,9.220000,9.220000,9.220000,6.277786,0
2001-06-25,9.330000,9.330000,9.330000,9.330000,6.352684,0
2001-06-26,9.410000,9.410000,9.410000,9.410000,6.407155,0
2001-06-27,9.400000,9.400000,9.400000,9.400000,6.400345,0
2001-06-28,9.700000,9.700000,9.700000,9.700000,6.604612,0
2001-06-29,10.020000,10.020000,10.020000,10.020000,6.822496,0
2001-07-02,9.980000,9.980000,9.980000,9.980000,6.795260,0
2001-07-03,9.970000,9.970000,9.970000,9.970000,6.788451,0
2001-07-05,9.680000,9.680000,9.680000,9.680000,6.590994,0
2001-07-06,9.120000,9.120000,9.120000,9.120000,6.209696,0
2001-07-09,9.210000,9.210000,9.210000,9.210000,6.270977,0
2001-07-10,8.890000,8.890000,8.890000,8.890000,6.053092,0
2001-07-11,8.960000,8.960000,8.960000,8.960000,6.100756,0
2001-07-12,9.630000,9.630000,9.630000,9.630000,6.556951,0
2001-07-13,9.570000,9.570000,9.570000,9.570000,6.516097,0
2001-07-16,9.140000,9.140000,9.140000,9.140000,6.223316,0
2001-07-17,9.400000,9.400000,9.400000,9.400000,6.400345,0
2001-07-18,9.030000,9.030000,9.030000,9.030000,6.148417,0
2001-07-19,9.340000,9.340000,9.340000,9.340000,6.359493,0
2001-07-20,9.170000,9.170000,9.170000,9.170000,6.243742,0
2001-07-23,8.990000,8.990000,8.990000,8.990000,6.121182,0
2001-07-24,8.880000,8.880000,8.880000,8.880000,6.046284,0
2001-07-25,8.990000,8.990000,8.990000,8.990000,6.121182,0
2001-07-26,9.390000,9.390000,9.390000,9.390000,6.393537,0
2001-07-27,9.560000,9.560000,9.560000,9.560000,6.509288,0
2001-07-30,9.570000,9.570000,9.570000,9.570000,6.516097,0
2001-07-31,9.640000,9.640000,9.640000,9.640000,6.563758,0
2001-08-01,10.050000,10.050000,10.050000,10.050000,6.842923,0
2001-08-02,10.200000,10.200000,10.200000,10.200000,6.945055,0
2001-08-03,10.030000,10.030000,10.030000,10.030000,6.829305,0
2001-08-06,9.880000,9.880000,9.880000,9.880000,6.727172,0
2001-08-07,9.760000,9.760000,9.760000,9.760000,6.645466,0
2001-08-08,9.370000,9.370000,9.370000,9.370000,6.379920,0
2001-08-09,9.370000,9.370000,9.370000,9.370000,6.379920,0
2001-08-10,9.370000,9.370000,9.370000,9.370000,6.379920,0
2001-08-13,9.520000,9.520000,9.520000,9.520000,6.482053,0
2001-08-14,9.420000,9.420000,9.420000,9.420000,6.413963,0
2001-08-15,9.160000,9.160000,9.160000,9.160000,6.236932,0
2001-08-16,9.160000,9.160000,9.160000,9.160000,6.236932,0
2001-08-17,8.780000,8.780000,8.780000,8.780000,5.978195,0
2001-08-20,8.850000,8.850000,8.850000,8.850000,6.025859,0
2001-08-21,8.550000,8.550000,8.550000,8.550000,5.821591,0
2001-08-22,8.830000,8.830000,8.830000,8.830000,6.012239,0
2001-08-23,8.760000,8.760000,8.760000,8.760000,5.964578,0
2001-08-24,9.250000,9.250000,9.250000,9.250000,6.298213,0
2001-08-27,9.340000,9.340000,9.340000,9.340000,6.359493,0
2001-08-28,9.090000,9.090000,9.090000,9.090000,6.189271,0
2001-08-29,8.910000,8.910000,8.910000,8.910000,6.066710,0
2001-08-30,8.670000,8.670000,8.670000,8.670000,5.903298,0
2001-08-31,8.770000,8.770000,8.770000,8.770000,5.971386,0
2001-09-04,8.460000,8.460000,8.460000,8.460000,5.760312,0
2001-09-05,8.240000,8.240000,8.240000,8.240000,5.610516,0
2001-09-06,7.960000,7.960000,7.960000,7.960000,5.419868,0
2001-09-07,7.940000,7.940000,7.940000,7.940000,5.406249,0
2001-09-10,7.870000,7.870000,7.870000,7.870000,5.358587,0
2001-09-17,7.210000,7.210000,7.210000,7.210000,4.909202,0
2001-09-18,6.830000,6.830000,6.830000,6.830000,4.650464,0
2001-09-19,6.650000,6.650000,6.650000,6.650000,4.527904,0
2001-09-20,6.330000,6.330000,6.330000,6.330000,4.310020,0
2001-09-21,6.130000,6.130000,6.130000,6.130000,4.173842,0
2001-09-24,6.530000,6.530000,6.530000,6.530000,4.446198,0
2001-09-25,6.540000,6.540000,6.540000,6.540000,4.453007,0
2001-09-26,6.190000,6.190000,6.190000,6.190000,4.214695,0
2001-09-27,6.000000,6.000000,6.000000,6.000000,4.085327,0
2001-09-28,6.180000,6.180000,6.180000,6.180000,4.207887,0
2001-10-01,5.940000,5.940000,5.940000,5.940000,4.044474,0
2001-10-02,5.900000,5.900000,5.900000,5.900000,4.017239,0
2001-10-03,6.440000,6.440000,6.440000,6.440000,4.384918,0
2001-10-04,6.760000,6.760000,6.760000,6.760000,4.602802,0
2001-10-05,6.720000,6.720000,6.720000,6.720000,4.575566,0
2001-10-08,6.930000,6.930000,6.930000,6.930000,4.718553,0
2001-10-09,6.650000,6.650000,6.650000,6.650000,4.527904,0
2001-10-10,7.050000,7.050000,7.050000,7.050000,4.800260,0
2001-10-11,7.690000,7.690000,7.690000,7.690000,5.236028,0
2001-10-12,7.710000,7.710000,7.710000,7.710000,5.249645,0
2001-10-15,7.430000,7.430000,7.430000,7.430000,5.058998,0
2001-10-16,7.630000,7.630000,7.630000,7.630000,5.195174,0
2001-10-17,7.230000,7.230000,7.230000,7.230000,4.922819,0
2001-10-18,7.130000,7.130000,7.130000,7.130000,4.854730,0
2001-10-19,7.240000,7.240000,7.240000,7.240000,4.929628,0
2001-10-22,7.480000,7.480000,7.480000,7.480000,5.093042,0
2001-10-23,7.450000,7.450000,7.450000,7.450000,5.072615,0
2001-10-24,7.770000,7.770000,7.770000,7.770000,5.290498,0
2001-10-25,8.100000,8.100000,8.100000,8.100000,5.515192,0
2001-10-26,8.020000,8.020000,8.020000,8.020000,5.460721,0
