Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,0.553000,0.589000,0.538000,0.587000,0.587000,89085
2017-06-13,0.587000,0.610100,0.479500,0.520200,0.520200,4352877
2017-06-14,0.520200,0.544700,0.291200,0.346700,0.346700,2693369
2017-06-15,0.346700,0.599000,0.305300,0.408200,0.408200,1857604
2017-06-16,0.408200,0.451200,0.400000,0.428000,0.428000,622794
2017-06-17,0.428000,0.450200,0.385000,0.405600,0.405600,722974
2017-06-18,0.405600,0.435000,0.395000,0.425400,0.425400,788130
2017-06-19,0.425400,0.447200,0.411000,0.440500,0.440500,1391167
2017-06-20,0.440500,0.462400,0.415000,0.425000,0.425000,1528500
2017-06-21,0.425000,0.449900,0.411400,0.437300,0.437300,469896
2017-06-22,0.437300,0.482800,0.433000,0.482800,0.482800,928850
2017-06-23,0.482800,0.628900,0.476700,0.505300,0.505300,4742047
2017-06-24,0.505300,0.521400,0.440100,0.465300,0.465300,1707780
2017-06-25,0.465300,0.465900,0.340100,0.408000,0.408000,2770249
2017-06-26,0.408000,0.420000,0.348300,0.394000,0.394000,1203467
2017-06-27,0.394000,0.400000,0.351100,0.373000,0.373000,1255278
2017-06-28,0.373000,0.459900,0.361900,0.411000,0.411000,1584518
2017-06-29,0.411000,0.449000,0.393000,0.398000,0.398000,1065339
2017-06-30,0.398000,0.412900,0.370100,0.381100,0.381100,654289
2017-07-01,0.381100,0.390000,0.360000,0.376900,0.376900,844444
2017-07-02,0.376900,0.385000,0.350000,0.376000,0.376000,1359977
2017-07-03,0.376000,0.409800,0.370200,0.393800,0.393800,1126011
2017-07-04,0.393800,0.398700,0.368100,0.381000,0.381000,883114
2017-07-05,0.381000,0.385100,0.303300,0.352900,0.352900,3901437
2017-07-06,0.352900,0.356500,0.270000,0.282200,0.282200,3613254
2017-07-07,0.282200,0.320200,0.275100,0.300300,0.300300,1526339
2017-07-08,0.300300,0.312500,0.282900,0.300000,0.300000,891132
2017-07-09,0.300000,0.304100,0.183700,0.210000,0.210000,5296590
2017-07-10,0.210000,0.234200,0.183700,0.186900,0.186900,3061285
2017-07-11,0.186900,0.239500,0.180600,0.228800,0.228800,2354393
2017-07-12,0.228800,0.239000,0.187500,0.212900,0.212900,1739467
2017-07-13,0.212900,0.213100,0.160200,0.175100,0.175100,1387934
2017-07-14,0.175100,0.176300,0.142700,0.158200,0.158200,2300878
2017-07-15,0.158200,0.188000,0.155000,0.178000,0.178000,1876063
2017-07-16,0.178000,0.280000,0.176700,0.264000,0.264000,7509664
2017-07-17,0.264000,0.312300,0.246000,0.268000,0.268000,6657222
2017-07-18,0.268000,0.284900,0.230000,0.231400,0.231400,3743900
2017-07-19,0.231400,0.304300,0.230200,0.293700,0.293700,5318148
2017-07-20,0.293700,0.307800,0.245200,0.259500,0.259500,3641056
2017-07-21,0.259500,0.278500,0.253600,0.271600,0.271600,1940216
2017-07-22,0.271600,0.280000,0.255100,0.264900,0.264900,1593743
2017-07-23,0.264900,0.273000,0.236100,0.267400,0.267400,2223748
2017-07-24,0.267400,0.268800,0.236500,0.250000,0.250000,1449237
2017-07-25,0.250000,0.284500,0.240900,0.274400,0.274400,2070284
2017-07-26,0.274400,0.285000,0.271100,0.273000,0.273000,1653067
2017-07-27,0.273000,0.276500,0.262000,0.265100,0.265100,801625
2017-07-28,0.265100,0.278000,0.243000,0.276700,0.276700,1129721
2017-07-29,0.276700,0.278000,0.250200,0.254700,0.254700,1506166
2017-07-30,0.254700,0.260000,0.244000,0.254000,0.254000,774020
2017-07-31,0.254000,0.294000,0.249300,0.291000,0.291000,2349162
2017-08-01,0.291000,0.293900,0.271500,0.286000,0.286000,1649745
2017-08-02,0.286000,0.339200,0.285000,0.331900,0.331900,4842192
2017-08-03,0.331900,0.421700,0.331500,0.393700,0.393700,10871829
2017-08-04,0.393700,0.431600,0.360100,0.408000,0.408000,5389189
2017-08-05,0.408000,0.440000,0.395000,0.429900,0.429900,2911311
2017-08-06,0.429900,0.490000,0.411000,0.474000,0.474000,7356892
2017-08-07,0.474000,0.551700,0.455500,0.548100,0.548100,12202146
2017-08-08,0.548100,0.557000,0.509100,0.530000,0.530000,7137062
2017-08-09,0.530000,0.589200,0.506900,0.562400,0.562400,9266383
2017-08-10,0.562400,0.717700,0.556100,0.654700,0.654700,21553380
2017-08-11,0.654700,0.730000,0.612800,0.720000,0.720000,9837488
2017-08-12,0.720000,0.830000,0.690000,0.804300,0.804300,21581927
2017-08-13,0.804300,0.979700,0.791400,0.972000,0.972000,26449307
2017-08-14,0.972000,0.995000,0.750000,0.917000,0.917000,52452063
2017-08-15,0.917000,1.050000,0.863300,1.040000,1.040000,27930190
2017-08-16,1.040000,1.100000,0.990000,1.010000,1.010000,33921131
2017-08-17,1.010000,1.040000,0.761100,0.867000,0.867000,39474941
2017-08-18,0.867000,0.985900,0.770000,0.979100,0.979100,22746400
2017-08-19,0.979100,1.030000,0.910000,0.910100,0.910100,18151967
2017-08-20,0.910100,0.940800,0.840000,0.900100,0.900100,17235787
2017-08-21,0.900100,0.904600,0.777800,0.838000,0.838000,15961001
2017-08-22,0.838000,0.940800,0.830300,0.851000,0.851000,15372233
2017-08-23,0.851000,0.894900,0.795900,0.890000,0.890000,8478289
2017-08-24,0.891000,0.934900,0.835000,0.916400,0.916400,11436765
2017-08-25,0.916400,0.974900,0.875000,0.960000,0.960000,9399472
2017-08-26,0.960000,0.980100,0.880000,0.919300,0.919300,8671763
2017-08-27,0.919400,0.929000,0.780000,0.874400,0.874400,11772010
2017-08-28,0.874400,0.875000,0.705300,0.812500,0.812500,15007894
2017-08-29,0.812500,0.876500,0.783800,0.867500,0.867500,9937742
2017-08-30,0.867500,0.900000,0.820000,0.841500,0.841500,9170131
2017-08-31,0.841500,0.880000,0.771000,0.792700,0.792700,16395351
2017-09-01,0.792700,0.799900,0.640000,0.692100,0.692100,24754845
2017-09-02,0.692100,0.777000,0.666000,0.741700,0.741700,19943217
2017-09-03,0.741700,0.744200,0.363300,0.548400,0.548400,54618042
2017-09-04,0.548400,0.649900,0.455000,0.613200,0.613200,28222355
2017-09-05,0.613200,0.748800,0.592000,0.739400,0.739400,19935928
2017-09-06,0.739400,0.740000,0.614100,0.647900,0.647900,20523394
