Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,10.060000,10.060000,10.060000,10.060000,9.193915,0
2011-07-01,10.210000,10.210000,10.210000,10.210000,9.331003,0
2011-07-05,10.190000,10.190000,10.190000,10.190000,9.312723,0
2011-07-06,10.170000,10.170000,10.170000,10.170000,9.294445,0
2011-07-07,10.340000,10.340000,10.340000,10.340000,9.449809,0
2011-07-08,10.180000,10.180000,10.180000,10.180000,9.303584,0
2011-07-11,9.940000,9.940000,9.940000,9.940000,9.084246,0
2011-07-12,9.810000,9.810000,9.810000,9.810000,8.965440,0
2011-07-13,9.920000,9.920000,9.920000,9.920000,9.065969,0
2011-07-14,9.770000,9.770000,9.770000,9.770000,8.928881,0
2011-07-15,9.810000,9.810000,9.810000,9.810000,8.965440,0
2011-07-18,9.620000,9.620000,9.620000,9.620000,8.791797,0
2011-07-19,9.790000,9.790000,9.790000,9.790000,8.947161,0
2011-07-20,9.790000,9.790000,9.790000,9.790000,8.947161,0
2011-07-21,9.830000,9.830000,9.830000,9.830000,8.983717,0
2011-07-22,9.850000,9.850000,9.850000,9.850000,9.001996,0
2011-07-25,9.750000,9.750000,9.750000,9.750000,8.910604,0
2011-07-26,9.650000,9.650000,9.650000,9.650000,8.819213,0
2011-07-27,9.330000,9.330000,9.330000,9.330000,8.526763,0
2011-07-28,9.270000,9.270000,9.270000,9.270000,8.471930,0
2011-07-29,9.180000,9.180000,9.180000,9.180000,8.389676,0
2011-08-01,9.110000,9.110000,9.110000,9.110000,8.325703,0
2011-08-02,8.910000,8.910000,8.910000,8.910000,8.142920,0
2011-08-03,9.040000,9.040000,9.040000,9.040000,8.261729,0
2011-08-04,8.540000,8.540000,8.540000,8.540000,7.804775,0
2011-08-05,8.460000,8.460000,8.460000,8.460000,7.731663,0
2011-08-08,7.870000,7.870000,7.870000,7.870000,7.192457,0
2011-08-09,8.300000,8.300000,8.300000,8.300000,7.585438,0
2011-08-10,7.830000,7.830000,7.830000,7.830000,7.155900,0
2011-08-11,8.250000,8.250000,8.250000,8.250000,7.539742,0
2011-08-12,8.300000,8.300000,8.300000,8.300000,7.585438,0
2011-08-15,8.600000,8.600000,8.600000,8.600000,7.859611,0
2011-08-16,8.430000,8.430000,8.430000,8.430000,7.704246,0
2011-08-17,8.370000,8.370000,8.370000,8.370000,7.649411,0
2011-08-18,7.840000,7.840000,7.840000,7.840000,7.165039,0
2011-08-19,7.700000,7.700000,7.700000,7.700000,7.037092,0
2011-08-22,7.710000,7.710000,7.710000,7.710000,7.046231,0
2011-08-23,8.070000,8.070000,8.070000,8.070000,7.375238,0
2011-08-24,8.240000,8.240000,8.240000,8.240000,7.530602,0
2011-08-25,8.030000,8.030000,8.030000,8.030000,7.338681,0
2011-08-26,8.190000,8.190000,8.190000,8.190000,7.484907,0
2011-08-29,8.640000,8.640000,8.640000,8.640000,7.896166,0
2011-08-30,8.680000,8.680000,8.680000,8.680000,7.932724,0
2011-08-31,8.680000,8.680000,8.680000,8.680000,7.932724,0
2011-09-01,8.510000,8.510000,8.510000,8.510000,7.777359,0
2011-09-02,8.220000,8.220000,8.220000,8.220000,7.512326,0
2011-09-06,8.120000,8.120000,8.120000,8.120000,7.420933,0
2011-09-07,8.430000,8.430000,8.430000,8.430000,7.704246,0
2011-09-08,8.270000,8.270000,8.270000,8.270000,7.558021,0
2011-09-09,7.960000,7.960000,7.960000,7.960000,7.274708,0
2011-09-12,7.990000,7.990000,7.990000,7.990000,7.302125,0
2011-09-13,8.130000,8.130000,8.130000,8.130000,7.430073,0
2011-09-14,8.320000,8.320000,8.320000,8.320000,7.603715,0
2011-09-15,8.440000,8.440000,8.440000,8.440000,7.713384,0
2011-09-16,8.420000,8.420000,8.420000,8.420000,7.695107,0
2011-09-19,8.260000,8.260000,8.260000,8.260000,7.548882,0
2011-09-20,8.140000,8.140000,8.140000,8.140000,7.439213,0
2011-09-21,7.850000,7.850000,7.850000,7.850000,7.174179,0
2011-09-22,7.540000,7.540000,7.540000,7.540000,6.890867,0
2011-09-23,7.680000,7.680000,7.680000,7.680000,7.018815,0
2011-09-26,7.880000,7.880000,7.880000,7.880000,7.201596,0
2011-09-27,8.080000,8.080000,8.080000,8.080000,7.384377,0
2011-09-28,7.750000,7.750000,7.750000,7.750000,7.082788,0
2011-09-29,7.830000,7.830000,7.830000,7.830000,7.155900,0
2011-09-30,7.590000,7.590000,7.590000,7.590000,6.936563,0
2011-10-03,7.260000,7.260000,7.260000,7.260000,6.634974,0
2011-10-04,7.690000,7.690000,7.690000,7.690000,7.027954,0
2011-10-05,7.960000,7.960000,7.960000,7.960000,7.274708,0
2011-10-06,8.160000,8.160000,8.160000,8.160000,7.457490,0
2011-10-07,7.980000,7.980000,7.980000,7.980000,7.292987,0
2011-10-10,8.260000,8.260000,8.260000,8.260000,7.548882,0
2011-10-11,8.290000,8.290000,8.290000,8.290000,7.576298,0
2011-10-12,8.420000,8.420000,8.420000,8.420000,7.695107,0
2011-10-13,8.380000,8.380000,8.380000,8.380000,7.658550,0
2011-10-14,8.560000,8.560000,8.560000,8.560000,7.823054,0
2011-10-17,8.260000,8.260000,8.260000,8.260000,7.548882,0
2011-10-18,8.500000,8.500000,8.500000,8.500000,7.768220,0
2011-10-19,8.360000,8.360000,8.360000,8.360000,7.640271,0
2011-10-20,8.350000,8.350000,8.350000,8.350000,7.631132,0
2011-10-21,8.560000,8.560000,8.560000,8.560000,7.823054,0
2011-10-24,8.850000,8.850000,8.850000,8.850000,8.088088,0
2011-10-25,8.520000,8.520000,8.520000,8.520000,7.786499,0
2011-10-26,8.740000,8.740000,8.740000,8.740000,7.987557,0
2011-10-27,9.350000,9.350000,9.350000,9.350000,8.545040,0
2011-10-28,9.360000,9.360000,9.360000,9.360000,8.554180,0
2011-10-31,9.010000,9.010000,9.010000,9.010000,8.234313,0
2011-11-01,8.620000,8.620000,8.620000,8.620000,7.877886,0
2011-11-02,8.770000,8.770000,8.770000,8.770000,8.014975,0
2011-11-03,8.920000,8.920000,8.920000,8.920000,8.152061,0
2011-11-04,8.890000,8.890000,8.890000,8.890000,8.124643,0
2011-11-07,8.840000,8.840000,8.840000,8.840000,8.078948,0
2011-11-08,9.020000,9.020000,9.020000,9.020000,8.243451,0
2011-11-09,8.570000,8.570000,8.570000,8.570000,7.832192,0
